ens_id,seed,generation,population,vic_count,nash,trmse,msde,roce,stand_nash,stand_trmse,stand_msde,stand_roce,distance_to_utopia
1,1,3,5,25,0.659735063,8.040397194,621534.4838,0.048894253,0.340264937,0.003107783,0.476195803,0.048894253,0.587318463
2,1,7,2,62,0.659727601,8.040500924,622192.6052,0.048894244,0.340272399,0.00310779,0.476319356,0.048894244,0.587422965
3,1,8,3,73,0.685281036,7.464456197,616308.9555,0.053724091,0.314718964,0.002985325,0.471742889,0.053724091,0.56963547
4,1,8,5,75,0.659727597,8.040536414,622197.2939,0.048890228,0.340272403,0.003107793,0.476320237,0.048890228,0.587423347
5,1,8,7,77,0.685439889,7.451732833,615409.7644,0.054725175,0.314560111,0.002983168,0.471498905,0.054725175,0.569440976
6,1,9,9,89,0.659690736,8.040642064,621558.8857,0.048863655,0.340309264,0.003109021,0.476250253,0.048863655,0.587385752
7,1,10,7,97,0.660951285,8.060366927,620978.7725,0.051986512,0.339048715,0.003111054,0.472965172,0.051986512,0.584262237
8,1,10,8,98,0.69441733,7.30761436,582733.4635,0.073017826,0.30558267,0.002810595,0.431866519,0.073017826,0.534068311
9,2,7,6,66,0.644614869,5.790210916,538711.3609,0.146087603,0.355385131,0.002432613,0.343401033,0.146087603,0.515335198
10,2,8,1,71,0.560419356,6.954125757,498242.6474,0.280373998,0.439580644,0.00266932,0.30209889,0.280373998,0.602587409
11,2,8,2,72,0.626027131,5.771871853,522217.5945,0.166804235,0.373972869,0.002418666,0.338239924,0.166804235,0.531122825
12,2,8,7,77,0.67146964,6.425140719,490140.3106,0.144716746,0.32853036,0.002492583,0.310284218,0.144716746,0.474507791
13,2,9,2,82,0.648579349,5.796850501,539903.1179,0.139873133,0.351420651,0.002464544,0.344605456,0.139873133,0.511683458
14,2,9,4,84,0.672317909,6.423024272,530660.8108,0.110872702,0.327682091,0.002490865,0.343766983,0.110872702,0.487698936
15,2,9,6,86,0.68452262,7.243961119,545395.1585,0.055437271,0.31547738,0.002908335,0.367678315,0.055437271,0.487642359
16,2,10,1,91,0.629592005,5.758371428,524875.0964,0.162059459,0.370407995,0.002416228,0.340445146,0.162059459,0.528558499
17,2,10,2,92,0.669996821,6.443735358,487863.918,0.147386933,0.330003179,0.002494354,0.30797852,0.147386933,0.474849446
18,2,10,3,93,0.672538306,6.452383727,488405.4211,0.139991639,0.327461694,0.002496108,0.309484733,0.139991639,0.471821842
19,2,10,5,95,0.584675214,6.996773933,480581.7705,0.265343009,0.415324786,0.002685439,0.297810927,0.265343009,0.575847333
20,2,10,7,97,0.693597012,6.285675713,540302.9573,0.057371585,0.306402988,0.002679291,0.364991368,0.057371585,0.480000174
21,2,10,9,99,0.648300198,6.284843567,718685.8297,0.159332853,0.351699802,0.00248676,0.342866519,0.159332853,0.516375196
22,3,1,2,2,0.688325745,6.257475448,744005.3573,0.110849818,0.311674255,0.002417746,0.442031812,0.110849818,0.552110941
23,3,5,2,42,0.688786443,6.271057557,744534.8441,0.110051189,0.311213557,0.002419392,0.442497806,0.110051189,0.552064584
24,3,5,10,50,0.650507476,6.087045232,742974.7745,0.188105735,0.349492524,0.002355025,0.43995598,0.188105735,0.592533208
25,3,6,5,55,0.696860431,6.513809435,721876.4984,0.086529868,0.303139569,0.002425049,0.430248067,0.086529868,0.533385692
26,3,7,3,63,0.696902261,6.516992428,722163.5229,0.086479698,0.303097739,0.00242588,0.430638522,0.086479698,0.53366881
27,3,7,4,64,0.688385671,6.268088444,744690.3801,0.110617423,0.311614329,0.002418494,0.44234848,0.110617423,0.552284104
28,3,7,5,65,0.699174959,6.88647505,763923.7588,0.086982164,0.300825041,0.002509672,0.475782121,0.086982164,0.5695933
29,3,8,3,73,0.699506145,6.896727995,735214.9262,0.087587332,0.300493855,0.002513176,0.461391339,0.087587332,0.557544959
30,3,8,9,79,0.685701412,6.1416349,727886.4189,0.113335027,0.314298588,0.002389579,0.427594966,0.113335027,0.542652371
31,3,9,1,81,0.699858494,6.889259138,763878.9116,0.085706932,0.300141506,0.002512878,0.475770221,0.085706932,0.56902919
32,3,9,2,82,0.699282903,6.88383499,760498.9461,0.087115011,0.300717097,0.00250943,0.473740645,0.087115011,0.567852352
33,3,9,6,86,0.639917986,6.9729328,860791.5699,0.076301835,0.360082014,0.002519465,0.613548205,0.076301835,0.715491981
34,3,9,7,87,0.665105932,6.041451497,742342.9972,0.162300868,0.334894068,0.002358927,0.441959789,0.162300868,0.577779914
35,3,10,1,91,0.668383773,6.041096608,750389.7019,0.156887925,0.331616227,0.00236122,0.447611628,0.156887925,0.578744234
36,3,10,2,92,0.684881134,6.126336951,730130.6857,0.115723211,0.315118866,0.002386289,0.428228785,0.115723211,0.5441299
37,3,10,3,93,0.699618772,6.576862252,677539.5966,0.102202705,0.300381228,0.002494057,0.42291077,0.102202705,0.528709764
38,3,10,4,94,0.679265092,5.99932112,733822.7119,0.142567882,0.320734908,0.002362441,0.438219065,0.142567882,0.561460606
39,3,10,8,98,0.673660865,6.639311316,747085.6629,0.08419279,0.326339135,0.002430487,0.48956872,0.08419279,0.594364447
40,3,10,9,99,0.698171574,6.900806106,773331.1559,0.086310467,0.301828426,0.00250628,0.481053873,0.086310467,0.574429287
41,3,10,10,100,0.663488264,6.076703061,731149.3047,0.167006037,0.336511736,0.002365642,0.435299852,0.167006037,0.57499802
42,5,9,10,90,0.680780588,6.809476847,577732.0383,0.124187818,0.319219412,0.002608162,0.386761917,0.124187818,0.516638394
43,5,10,3,93,0.681222365,6.813350605,577624.8839,0.122840669,0.318777635,0.002608873,0.386894702,0.122840669,0.51614274
